/home/cw10108/ComputerArchitecture/pyrisc/sim/snurisc.py       -l 4 decode
Loading file decode
0 0x80000294: lui    sp, 0x80020000         # R[2] <- 0x80020000, pc_next=0x80000298
1 0x80000298: jal    ra, 0x800002d4         # R[1] <- 0x8000029c, pc_next=0x800002d4
2 0x800002d4: addi   sp, sp, -16            # R[2] <- 0x8001fff0, pc_next=0x800002d8
3 0x800002d8: sw     ra, 0(sp)              # pc_next=0x800002dc
4 0x800002dc: addi   sp, sp, -256           # R[2] <- 0x8001fef0, pc_next=0x800002e0
5 0x800002e0: addi   t0, zero, 0            # R[5] <- 0x00000000, pc_next=0x800002e4
6 0x800002e4: addi   t1, zero, 6            # R[6] <- 0x00000006, pc_next=0x800002e8
7 0x800002e8: auipc  t2, 0x10000            # R[7] <- 0x800102e8, pc_next=0x800002ec
8 0x800002ec: addi   t2, t2, -744           # R[7] <- 0x80010000, pc_next=0x800002f0
9 0x800002f0: auipc  t3, 0x10000            # R[28] <- 0x800102f0, pc_next=0x800002f4
10 0x800002f4: addi   t3, t3, -728           # R[28] <- 0x80010018, pc_next=0x800002f8
11 0x800002f8: addi   t6, zero, 0            # R[31] <- 0x00000000, pc_next=0x800002fc
12 0x800002fc: addi   s1, zero, 4            # R[9] <- 0x00000004, pc_next=0x80000300
13 0x80000300: lw     t4, 0(t2)              # R[29] <- 0x80010030, pc_next=0x80000304
14 0x80000304: addi   a0, t4, 4              # R[10] <- 0x80010034, pc_next=0x80000308
15 0x80000308: lw     a1, 0(t4)              # R[11] <- 0x0000002b, pc_next=0x8000030c
16 0x8000030c: addi   a2, sp, 0              # R[12] <- 0x8001fef0, pc_next=0x80000310
17 0x80000310: addi   a3, zero, 256          # R[13] <- 0x00000100, pc_next=0x80000314
18 0x80000314: jal    ra, 0x80000000         # R[1] <- 0x80000318, pc_next=0x180000000
19 0x80000000: addi   sp, sp, -20            # R[2] <- 0x8001fedc, pc_next=0x80000004
20 0x80000004: sw     ra, 0(sp)              # pc_next=0x80000008
21 0x80000008: sw     a0, 4(sp)              # pc_next=0x8000000c
